matched_nutrition_ID,food_id,food_name,Carbohydrate (g),Fat (g),Fiber (g),Protein (g),Sugars (g),Added Sugar (g),Serving Weight 1 (g)
173944,46,banana,22.84,0.33,2.6,1.09,12.23,-1,225.0
171688,47,apple,13.81,0.17,2.4,0.26,10.39,-1,125.0
167597,48,sandwich,52.83,10.7,3.5,3.13,8.36,-1,34.0
169097,49,orange,11.75,0.12,2.4,0.94,9.35,-1,180.0
170379,50,brocolli,6.64,0.37,2.6,2.82,1.7,-1,91.0
170393,51,carrot,9.58,0.24,2.8,0.93,4.74,-1,128.0
782871,52,hot dog,3.77,20.71,0.4,8.94,1.92,-1,244.0
785908,53,pizza,29.7,8.59,3.4,13.67,6.07,-1,147.0
174990,54,donut,47.06,24.93,1.7,5.31,18.15,-1,40.0
172698,55,cake,63.2,10.3,1.0,4.4,57.39,-1,28.4
